quote,movie,type,year
There are those who say fate is something beyond our command that destiny is not our own. But I know better. Our fate lives within us. You only have to be brave enough to see it.,Brave,movie,2012
Above all dont lose hope,Life of Pi,movie,2012
Thats my secret Captain. Im always angry.,The Avengers ,movie,2012
Im a huge fan of the way you lose control and turn into an enormous green rage monster.,The Avengers,movie,2012
Better clench up Legolas.,The Avengers,movie,2012
Bright day uh Bright Boy?,Django Unchained,movie,2012
Where theres life theres hope.,The Hobbit,movie,2012
Ah you think darkness is your ally? You merely adopted the dark. I was born in it molded by it. I didnt see the light until I was already a man by then it was nothing to me but blinding,Dark Knight Rises,movie,2012
Followings not really my style.,Marvels The Avengers,movie,2012
There was an idea to bring together a group of remarkable people to see if we could become something more,The Avengers,movie,2012
 Thats what I do: I drink and I know things.,Game of Thrones,tv,2012
Genius billionaire playboy philanthropist.,The Avengers,movie,2012
I love you but you dont know what youre talking about.,Moonrise Kingdom,movie,2012
When you stop trying to force the solution itll happen on its own.,The Flash,tv,2012
The law says that you cannot touch. But I think I see a lot of lawbreakers up in this house tonight,Magic Mike,movie,2012
We accept the love we think we deserve,The Perks of Being a Wallflower.,movie,2012
All The people Ive murdered by letting you live...,Batman: The Dark Knight Returns,movie,2013
Sometimes you gotta run before you can walk,Ironman 3,movie,2013
Look closer because the closer you think you are the less you actually see,Now You See Me,movie,2013
I have nothing to prove to you,Captain Marvel,movie,2013
Let us learn to show our friendship for a man when he is alive and not after he is dead.,The Great Gatsby,movie,2013
If wishes could be granted if desires could be fulfilled then I wouldnt wish or desire for anything after all. The things youre handed on a silver platter are never genuine and never everlasting. And that is why Ill always keep searching.,Oregairu,anime,2013
The people who are crazy enough to think that they can change the world are the ones who do,Jobs,movie,2013
A wise man can learn more from his enemies than a fool from his friends.,Rush,movie,2013
Theres no nobility in poverty.,The Wolf of Wall Street,movie,2013
Youve changed Bilbo Baggins. Youre not the same hobbit as the one who left the Shire.,The Hobbit: The Desolation of Smaug,movie,2013
I warned your grandfather of what his greed would summon but he would not listen.,The Hobbit: The Desolation of Smaug,movie,2013
Let it go!,Frozen,movie,2013
Proximity to power deludes some into thinking they wield it.,House of Cards,tv,2013
Just remember: if you look in the face of evil evils gonna look right back at you.,American Horror Story,tv,2013
The only thing were allowed to believe is that we wont regret the choice we made.,Attack on Titan,anime,2013
You have got to be willing to crash and burn. If you are afraid of failing you wont get very far,Steve Jobs,movie,2013
Its the loneliest feeling not to know who you are,Alita: Battle Angel,movie,2013
I just try to live every day as if it was the final day of my extraordinary ordinary life.,About Time,movie,2013
I dont want to survive. I want to live.,12 years a slave,movie,2013
Look At Me Im The Captain Now,Captian Phillips,movie,2013
You dont turn your back on family Even when they do,The Fast and The Furious 8,movie,2013
Some people say its more hygienic than a handshake. But whos to say you cant get shit on your fist?,Alan Partridge: Alpha Papa,movie,2013
Im not sure about anything.,What If,movie,2013
People dont buy stock; it gets sold to them. Dont ever forget that.,The Wolf of Wall Street,movie,2013
The heart is not like a box that gets filled up; it expands in size the more you love. Im different from you. This doesnt make me love you any less. It actually makes me love you more.,Her,movie,2013
People who cant throw something important away can never hope to change anything.,Attack on Titan,anime,2013
Well I dont want to survive. I want to live.,12 Years a Slave,movie,2013
Were all traveling through time together everyday of our lives... All we can do is do our best to relish this remarkable life.,About Time,movie,2013
Rather than a person who hurts others become the person getting hurt,Tokyo Ghoul,anime,2014
Its not magic its talent and sweat.,Silicon Valley HBO,movie,2014
The truth is a matter of circumstances its not all things to all people all the time.,Captain America: The Winter Soldier,movie,2014
Dont wait for things to get easier simpler better. Life will always be complicated. Learn to be happy right now. Otherwise youll run out of time.,The Intouchables,movie,2014
Even a broken clock is right twice a day.,The Imitation Game,movie,2014
Not quite my tempo.,Whiplash,movie,2014
Popularity is the slutty little cousin of prestige.,Birdman,movie,2014
Look youre beautiful and youre talented. And Im lucky to have you.,Birdman,movie,2014
One day itll grow and every time I look at it Ill remember. Remember everything that happened: the good the bad and how lucky I am that I made it home.,The Hobbit: The Battle of Five Armies,movie,2014
Thats what you always do you confuse love for admiration.,Birdman,movie,2014
If more people valued home above gold this world would be a merrier place.,The Hobbit: The Battle of Five Armies,movie,2014
Only a fool argues for the pride of a dead man.,The Raid 2: Berandal,movie,2014
They never see you coming do they Bob?,The Drop,movie,2014
Sometimes it is the people who no one imagines anything of who do the things that no one can imagine.,The Imitation Game,movie,2014
I am Groot.,Guardians of the Galaxy,movie,2014
The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can/t achieve it.,Wolf of the Wall Street,movie,2014
So many times in my life I screwed up: Ive talked when I shouldve listened Ive been harsh when I shouldve been tender.,Ad Astra,movie,2014
Dragon sickness. Ive seen it before. That look the terrible need. It is a fierce and jealous love Bilbo. It sent his grandfather mad.,The Hobbit: The Battle of Five Armies,movie,2014
People keep asking if Im back and I havent really had an answer but yeah Im thinking Im back.,John Wick,movie,2014
Do not go gentle into that good night. Rage rage against the dying of the light.,Interstellar,movie,2014
There are no two words in the English language more harmful than good job.,Whiplash,movie,2014
We used to look up at the sky and wonder at our place in the stars now we just look down and worry about our place in the dirt.,Interstellar,movie,2014
The price of freedom is high and its the price I am willing to pay,Captain America: The Winter Soldier,movie,2014
Im not going to launch those ships. Captains orders.,Captain America: The Winter Soldier,movie,2014
Ideals are peaceful; history is violent.,Fury,war,2014
Dress like a kingsman.,KINGSMAN: The Secret Service,movie,2014
Nobody exists on purpose nobody belongs anywhere everybodys gonna die. Come watch TV?,Rick and Morty,tv,2014
Wubba lubba dub dub!,Rick and Morty,tv,2014
Having a family doesnt mean that you stop being an individual. You know the best thing you can do for the people that depend on you? Be honest with them even if it means setting them free.,Rick and Morty,tv,2014
There are no two words in the English language more harmful than good job,Whiplash,movie,2014
Machines can never think as humans do but just because something thinks differently from you does it mean its not thinking?,The Imitation Game,movie,2014
Pain demands to be felt,Fault in our stars,movie,2014
I know its not ordinary. But who ever loved ordinary?,The Imitation Game,movie,2014
Were you rushing or were you dragging?,Whiplash,movie,2014
No system is safe.,Who Am I,movie,2014
Everyones a whore Grace. We just sell different parts of ourselves.,Peaky Blinders,tv,2014
We are all different. However bad life may seem there is always something you can do and succeed at. While theres life there is hope.,The Theory of Everything,movie,2014
Come find me when you wake up!,Edge Of Tomorrow,movie,2014
You never would have come here unless you believed you were going to save them. Evolution has yet to transcend that simple barrier. We can care deeply  selflessly  about those we know but that empathy rarely extends beyond our line of sight.,Interstellar,movie,2014
This worlds a treasure but its been telling us to leave for a while now.,Interstellar,movie,2014
A machine doesnt improvise well because you cannot program a fear of death. Our survival instinct is our greatest source of inspiration.,Interstellar,movie,2014
Not my tempo.,Whiplash,movie,2014
Mankind was born on Earth. It was never meant to die here.,Interstellar,movie,2014
Hardest time to lie to somebody is when theyre expecting to be lied to.,The Imitation Game,movie,2014
Some infinities are bigger than other infinities.,The Fault in our stars,movie,2014
If an angelic being fell from the sky and tried to live in this world of ours I think even they would commit many wrongs.,Tokyo Ghoul,anime,2014
Im on a rollercoaster that only goes up my friend.,The Fault in Our Stars,movie,2014
Its not because we cant take vengeance that we should feel sorry. The real reason to feel sorry... is when one is hung up on revenge and cant live their own life.,Tokyo Ghoul,anime,2014
Sometimes its people closest to us who lie to us best,Arrow,tv,2015
You become responsible forever for everything you tamed.,The Little Prince,movie,2015
Mark Watney Space Pirate.,The Martian,movie,2015
How do you know the angel and the devil inside me arent the same thing?,Daredevil,tv,2015
I am the scales of justice conductor of the choir of death!,Mad Max,movie,2015
Oh what a day. What a lovely day!,Mad Max,movie,2015
Witness me!,Mad Max,movie,2015
Im going to have to science the s*** out of this.,The Martian,movie,2015
Just because someone stumbles and loses their path doesnt mean theyre lost forever.,XMen: Days of Future Past,movie,2015
Manners maketh man,KINGSMAN: The Secret Service,movie,2015
Havent you ever wanted something so ba that it becomes more than a want?,Rebel of the Sands,movie,2015
When I get back home I want all the praise to go towards me.,The Martian,movie,2015
What a treacherous thing to believe that a person is more than a person?,Paper Towns,movie,2015
Examined from another angle your faults and weaknesses can be weapons,Assassination classroom,anime,2015
People keeps secret computers dont,Arrow,tv,2015
Thats not how the force works!,Star Wars: Episode VII  The Force Awakens,movie,2015
But if you tame me then we shall need each other to me you shall be unique in all the world to you i shall be unique.,The Little Prince,movie,2015
Chewie were home.,The Force Awakens,movie,2015
My tastes are very singular.,Fifty Shades of Grey ,movie,2015
It is only with the heart that one can see rightly; what is essential is invisible to the eye,The Little Prince,movie,2015
Like the oldman said together,Avengers  Age of Ultron,movie,2015
Power belongs to those who take it.,Mr. Robot,tv,2015
That light saber was lukes and his fathers before him and now it calls to you!,Star Wars: The Force Awakens,movie,2015
I dont have friends. I got family.,Furious 7,movie,2015
A bit of madness is key,La La Land,movie,2016
Secrecy is security and security is victory.,Snowden,movie,2016
Once in a while when I wake up. I find myself crying.,Kimi No Nawa,movie,2016
When life gets you down you know what you gotta do? Just keep swimming.,Finding Dory,movie,2016
Bombs wont stop terrorism brains will and we dont have nearly enough of those.,Snowden,movie,2016
Marriage is buying a house for someone you hate,The Nice Guys,movie,2016
At some point you gotta decide for yourself who you gonna be. Cant let nobody make that decision for you.,Moonlight,movie,2016
Lifes a little bit messy. We all make mistakes. No matter what type of animal you are change starts with you.,Zootopia,movie,2016
For Azeroth for the Alliance!,Warcraft,movie,2016
When you love someone you work it out. You dont just throw it away. You have to be careful with it you might never get it again.,Nocturnal Animals,movie,2016
Youre right Aurora. But the drowning man will always try and drag somebody down with him. It aint right but the mans drowning.,Passengers,movie,2016
Tell me... do you bleed? You will!,BATMAN V SUPERMAN: DAWN OF JUSTICE,movie,2016
You cant buy love but you can rent it for three minutes!,Deadpool,movie,2016
Lifes a little bit messy. We all make mistakes. No matter what type of animal you are change starts with you.,Zootopia,Anime,2016
I can do this all day!,Captain America: Civil War,movie,2016
My dad used to say If you live an ordinary life all youll have are ordinary stories. You have to live a life of adventure.,Passengers,movie,2016
Start With Where Youre From,Lion,movie,2016
PWinston... tell them... Tell them all... Whoever comes whoever it is... Ill kill them. Ill kill them all.,John Wick 2,movie,2017
Do you know what a Cinnabon is? Its bread! And frosting! And cinnamon! They heat it up! Really hot!,Bee Movie,movie,2017
Life is a big trap made up of little traps... If you listen hard... sometimes you could hear them snap shut.,Sense8,tv,2017
Dont do anything I would do and definitely dont do anything I wouldnt do...,SpiderMan: Homecoming,movie,2017
Theres no hiding from this son.,Dunkirk,movie,2017
When all seems lost a few brave souls can save everything weve ever known.,Transformers : The Light Night,movie,2017
I promise you ... No matter where we will be in this world ... I promise we will meet again.,Your Name,movie,2017
Unfortunately were all human. Except me of course.,Mr.Robot,tv,2017
Break hearts not promises.,Turtles All the Way Down,movie,2017
Every time we get a chance to get ahead they move the finish line every time.,Hidden Figures,movie,2017
When we lose our principles we invite chaos.,Mr. Robot,tv,2017
People walk around act like they know what hate means. Nah no one does until you hate yourself. I mean truly hate yourself. Thats power.,Mr. Robot,tv,2017
We Shall Never Surrender.,Dunkirk,movie,2017
I have burrowed underneath your brain. I am nested there. I am the scream in your mind. You will cooperate.,Mr. Robot,tv,2017
Treasure the experience. Dreams fade away after you wake up,Your Name,movie,2017
Leave One Wolf Alive and the Sheep are Never Safe,Game of Thrones Season 7,movie,2017
Loves the most powerful emotion and that makes it the most dangerous,Arrow,tv,2017
Youre so dark! Are you sure youre not from the DC universe? I love dubstep!,Deadpool 2,movie,2018
If you want to change things in a big way then you gotta make some big changes.,Creed 2,movie,2018
Just because something works doesnt mean it cant be improved.,Black Panther,movie,2018
There is no such thing as magic just illusion. Things only change when we change them. But you have to do it skillfully in secret. Then it seems like magic.,Dark,tv,2018
The darkest nights produce the brightest stars.,Bumblebee,movie,2018
Thats one small step for man one giant leap for mankind.,First Man,movie,2018
Is this your king?,Black Panther,movie,2018
That person who helps others simply because it should or must be done and because it is the right thing to do is indeed without a doubt a real superhero.,SpiderMan: Into the SpiderVerse,movie,2018
If we didnt do what we loved we wouldnt exist.,Adonis Creed II,movie,2018
Sometimes we think we have to do it all on our own. But we dont.,Creed 2,movie,2018
I just wanted to take another look at you.,A Star Is Born,movie,2018
The hardest choices require the strongest wills,Avengers: Infinity War,movie,2018
Whats done is done when we say its done.,Mission Impossible: fallout,movie,2018
Change is like death. You dont know what it looks like until youre standing at the gates.,Jurassic World: Fallen Kingdom,movie,2018
Being a hero doesnt mean you are invincible. It just means youre brave enough to stand up and do whats needed.,Two Heroes,movie,2018
Sometimes when youre feeling helpless the secret is to help someone else. Get out of your own head. Trust me. The next time someone asks for help say yes.,The Good Place,tv,2018
Yeah. Well youre right. I thought it was more important to be somebody out there than the damn failure I was here at my own home. Anyway for what its worth Im here now.,The Mule,movie,2018
Whatever it takes!,Avengers : Infinity War,movie,2018
That does put a smile on my face.,Avengers: Infinity War,movie,2018
For I am a Sinner in the hands of an angry God Bloody Mary Full of Vodka Blessed are you among cocktails pray for me now at the hour of my death which I hope is soon. Amen,Archer,tv,2018
Being genius is not enough it takes courage to change peoples hearts.,Green Book,movie,2018
Elsa the past is not what it seems. You must find the truth.,Frozen II,movie,2019
I remember the story of an evil witch at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.,Maleficent:The Mistress of Evil,movie,2019
I can do this all day,Avengers: Endgame,movie,2019
I love you 3000.,Avengers: Endgame,movie,2019
I laugh in the face of danger,The Lion King,movie,2019
Being brave doesnt mean you go looking for trouble.,The Lion King,movie,2019
Lord knows Ive held onto way too much hate in my life. But all we have is now. All we have is now.,Waves,movie,2019
All I have are negative thoughts.,Joker,movie,2019
Nothing is funnier than unhappiness.,Avengers: Endgame,movie,2019
Is it just me or is it getting crazier out there?,Joker,movie,2019
 If you want to get crazy. We can get crazy.,Us,movie,2019
A new chapter of my life has begun. Already I can feel the weight of this crown I wear.,The King,movie,2019
You all love twisting the knife into one another.,Knives Out,movie,2019
Things are very uncomfortable between us but were stuck in a house together.,The Lodge,movie,2019
Pearl Harbor is the greatest intelligence failure in American history.,Midway,movie,2019
Theres nothing you cant do if you try.,Dr Stone,anime,2019
I just want to escape. Dad always wanted me to travel the world. Someday.,Abominable,movie,2019
They have all the money all the firepower and theyll use it. I know I was one of them.,Dark Waters,movie,2019
I think the best thing we can do is to let people know that each one of them is precious.,A Beautiful Day in the Neighbourhood,movie,2019
Well Ive got no leashes or fences. With me every day could be an adventure.,The Lady and the Tramp,movie,2019
Youre really lucky you know that? You didnt have to wait your whole life to do something special.,El Camino,movie,2019
Even if we do ignore the previous data Brolys latent abilities are quite remarkable.,Dragon Ball Super: Broly,movie,2019
My mother always tells me to smile and put on a happy face. She told me I had a purpose to bring laughter and joy to the world.,Joker,movie,2019
How truly magnificent! I think this battle is about to come to a rousing finale!,Dragon Ball Super: Broly,movie,2019
Today the impossible becomes the possible. ,The Current War,movie,2019
There is no punchline.,Joker,movie,2019
Is it just me or is it getting crazier out there?,Joker,movie,2019
Thats MotherF****** street poetic justice.,Shaft,movie,2019
Maybe its because Im constantly fighting destro…d to be a lowerclass warrior... like my Kakarot.,Dragon Ball Super: Broly,movie,2019
These barbarians pretend to be submissive but the…a sleeping beast down before it can be awakened.,Dragon Ball Super: Broly,movie,2019
Time means nothing. Jeremy Bearimy baby. Well just get through this. And then you and I can chill out in the dot of the I forever.,The Good Place,tv,2019
The worst part of having a mental illness is people expect you to behave as if you dont,Joker,movie,2019
You give me your loyalty and Ill guarantee that each and every one of you will have a chance to be a warrior to actually be a part of history.,The Kill Team,movie,2019
What do you want most in the world?,Anna,movie,2019
I do what I do because of my dad. He was a hero. He gave his life for the pursuit of knowledge.,Ad Astra,movie,2019
Youve got a lot to learn. Here on Earth we like …have to listen to what the others tell you to do.,Dragon Ball Super: Broly,movie,2019
Followings not really my style.,Marvels The Avengers,movie,2019
I have nothing to prove to you,Captain Marvel,movie,2019
Dude you are on fire.,El Camino,movie,2019
This is me. This is how I win.,Uncut Gems,movie,2019
Why have average when you can have extraordinary?,The Boys,tv,2019
You are my lighting rod.,Avengers: Endgame,movie,2019
Bruce Lee: My hands are registered as lethal weapons. We get into a fight I accidentally kill you... I go to jail.,Once Upon a Time in Hollywood,movie,2019
Im as real as a donut motherfucker.,Once Upon a Time in Hollywood,movie,2019
I used to think that my life was a tragedy. But now I realize its a comedy.,Joker,movie,2019
I use the words you taught me. If they dont mean anything any more teach me others. Or let me be silent.,Avengers: Endgame,movie,2019
I used to use this little gun when I was a prostitude.,Pineapple Express,movie,2019
If you want to get crazy. We can get crazy.,Us,movie,2019
If you can only do one thing hone it to perfection. Hone it to the utmost limit!,Kimetsu no Yaiba,anime,2019
You get what you f***ing deserve !!,Joker,movie,2019
You dont listen do you?,Joker,movie,2019
Never let your wings be stolen for you,Maleficent:The Mistress of Evil,movie,2019
Guns lots of guns.,John Wick 3: Parabellum,movie,2019
I was so sure my strength was getting close to it…on this planet... Then who would I train against.,Dragon Ball Super: Broly,movie,2019
No amount of money ever bought a second of time.,Avengers: Endgame,movie,2019
The end is in the beginning and yet you go on.,Avengers: Endgame,movie,2019
This meeting of The Losers Club has officially begun.,It Chapter Two,movie,2019
 SpiderPig SpiderPig. Does whatever a SpiderPig does. Can he swing from a web? No he cant hes a pig. Look out! He is a SpiderPig!,The Simpsons Movie,movie,2019
Lets do this.,Men in Black,movie,2019
It looks as though hes managed to transform someh… his human form retaining his speed and agility.,Dragon Ball Super: Broly,movie,2019
I just hope my death makes more cents than my life.,Joker,movie,2019
I am Iron Man.,Avengers: Endgame,movie,2019
I didnt know if you were lost. Stick with me. Ill keep you safe.,Us,movie,2019
This guys awesome! Hes holding his own while still in his base form!,Dragon Ball Super: Broly,movie,2019
Murder is murder it dont matter who you are.,Black and Blue,movie,2019
You know what a lion is? A lion is a strong animal. They do what the fuck they wanna do. Take what they want eat what they want they run when they feel like it. Lion.,Between Two Ferns: The Movie,movie,2019
That was the best acting ive ever seen in my whole life.,Once Upon a Time in Hollywood,movie,2019